"X","family","T1","dT2.1","dT2.2","dT3.1","dT3.2","dT3.3","dT3.4","Colony_size","predicted.celltype","avg_dT2","avg_dT3","var_dT2","var_dT3","max_var","min_var","distance"
"AD1.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD4.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD5.I.E12","I_E12",49,16,16,16,17,21,21,8,"CD34+CD38-/HPC",16,18.75,0,6.91666666666667,6.91666666666667,0,0.197989309565035
"AD6.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD7.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"GraP",20,NA,0,NA,0,0,0.25050244088981
"AD8.I.E12","I_E12",49,16,16,16,17,21,21,8,"MyP",16,18.75,0,6.91666666666667,6.91666666666667,0,0.197989309565035
"AD12.I.F5","I_F5",45,18,18,15,16,17,17,9,"CD34+CD38-/HPC",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD13.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD14.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD15.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD16.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD17.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD18.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD20.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD21.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD22.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD23.I.F5","I_F5",45,18,18,15,16,17,17,9,"EryP/MkP",18,16.25,0,0.916666666666667,0.916666666666667,0,0.0778797171866654
"AD24.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD25.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD26.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD27.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+CD38-/HPC",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD28.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+CD38-/HPC",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD29.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD30.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",20,NA,0,NA,0,0,0.25050244088981
"AD31.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD32.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD33.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"MyP",17.5,15.25,0.5,2.25,2.25,0.5,0.084627653595079
"AD34.I.D5","I_D5",65,18,20,NA,NA,NA,NA,4,"MyP",19,NA,2,NA,2,2,0.0734321593459937
"AD37.II.E1","II_E1",41,16,16,13,13,13,14,15,"CD34+CD38-/HPC",16,13.25,0,0.25,0.25,0,0.0457683476761301
"AD38.II.E1","II_E1",41,16,16,13,13,13,14,15,"CD34+CD38-/HPC",16,13.25,0,0.25,0.25,0,0.0457683476761301
"AD39.II.E1","II_E1",41,16,16,13,13,13,14,15,"CD34+CD38-/HPC",16,13.25,0,0.25,0.25,0,0.0457683476761301
"AD40.II.E1","II_E1",41,16,16,13,13,13,14,15,"CD34+CD38-/HPC",16,13.25,0,0.25,0.25,0,0.0457683476761301
"AD41.II.E1","II_E1",41,16,16,13,13,13,14,15,"CD34+CD38-/HPC",16,13.25,0,0.25,0.25,0,0.0457683476761301
"AD43.II.E11","II_E11",56,22,22,NA,NA,NA,NA,4,"CD34+CD38-/HPC",22,NA,0,NA,0,0,0.113168798467068
"AD44.II.E11","II_E11",56,22,22,NA,NA,NA,NA,4,"CD34+CD38-/HPC",22,NA,0,NA,0,0,0.113168798467068
"AD45.II.E11","II_E11",56,22,22,NA,NA,NA,NA,4,"CD34+CD38-/HPC",22,NA,0,NA,0,0,0.113168798467068
"AD46.I.D5","I_D5",65,18,20,NA,NA,NA,NA,4,"MyP",19,NA,2,NA,2,2,0.0734321593459937
"AD47.I.D5","I_D5",65,18,20,NA,NA,NA,NA,4,"CD34+CD38-/HPC",19,NA,2,NA,2,2,0.0734321593459937
"AD48.I.D5","I_D5",65,18,20,NA,NA,NA,NA,4,"MyP",19,NA,2,NA,2,2,0.0734321593459937
"AD49.I.D5","I_D5",65,18,20,NA,NA,NA,NA,4,"MyP",19,NA,2,NA,2,2,0.0734321593459937
"AD52.II.G3","II_G3",57,23,26,NA,NA,NA,NA,4,"GraP",24.5,NA,4.5,NA,4.5,4.5,0.0583449956991047
"AD53.II.G3","II_G3",57,23,26,NA,NA,NA,NA,4,"GraP",24.5,NA,4.5,NA,4.5,4.5,0.0583449956991047
"AD54.I.E7","I_E7",58,NA,NA,NA,NA,NA,NA,2,"MyP",NA,NA,NA,NA,NA,NA,0.0523959633619646
"AD55.II.H5","II_H5",48,19,19,NA,NA,NA,NA,4,"GraP",19,NA,0,NA,0,0,0.0470661899240408
"AD56.I.E7","I_E7",58,NA,NA,NA,NA,NA,NA,2,"MyP",NA,NA,NA,NA,NA,NA,0.0523959633619646
"AD57.II.H5","II_H5",48,19,19,NA,NA,NA,NA,4,"GraP",19,NA,0,NA,0,0,0.0470661899240408
"AD59.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD60.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD61.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD62.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD63.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD64.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD65.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD66.III.B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"EryP/MkP",20.5,18.25,0.5,4.25,4.25,0.5,0.0796517930072802
"AD67.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"MyP",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD69.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"MyP",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD70.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"MyP",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD71.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+CD38-/HPC",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD72.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+CD38-/HPC",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD73.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+CD38-/HPC",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD74.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"MyP",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD75.III.F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+CD38-/HPC",15.5,13.25,0.5,0.916666666666667,0.916666666666667,0.5,0.121595682422939
"AD77.III.H12","III_H12",45,16,16,14,16,19,19,8,"CD34+CD38-/HPC",16,17,0,6,6,0,0.259063235815798
"AD78.III.H12","III_H12",45,16,16,14,16,19,19,8,"EryP/MkP",16,17,0,6,6,0,0.259063235815798
"AD79.III.H12","III_H12",45,16,16,14,16,19,19,8,"EryP/MkP",16,17,0,6,6,0,0.259063235815798
"AD82.III.H12","III_H12",45,16,16,14,16,19,19,8,"EryP/MkP",16,17,0,6,6,0,0.259063235815798
"AD83.III.H12","III_H12",45,16,16,14,16,19,19,8,"EryP/MkP",16,17,0,6,6,0,0.259063235815798
"AD86.III.H6","III_H6",52,21,23,NA,NA,NA,NA,4,"EryP/MkP",22,NA,2,NA,2,2,0.110860184837928
"AD87.III.H6","III_H6",52,21,23,NA,NA,NA,NA,4,"EryP/MkP",22,NA,2,NA,2,2,0.110860184837928
"AD88.III.H6","III_H6",52,21,23,NA,NA,NA,NA,4,"EryP/MkP",22,NA,2,NA,2,2,0.110860184837928
