"var_names","is_consequence","group","group_color"
"ABCC4",1,"Other","A9EBA9"
"ABHD17B",1,"Other","A9EBA9"
"ABI3",1,"Other","A9EBA9"
"AC000089.1",1,"Other","A9EBA9"
"AC002467.1",1,"Other","A9EBA9"
"AC005840.1",1,"Other","A9EBA9"
"AC005912.1",0,"TF","F0C69C"
"AC007161.1",1,"Other","A9EBA9"
"AC007881.4",1,"Other","A9EBA9"
"AC009362.1",0,"TF","F0C69C"
"AC010997.6",1,"Other","A9EBA9"
"AC011495.1",1,"Other","A9EBA9"
"AC016596.3",1,"Other","A9EBA9"
"AC018738.1",0,"TF","F0C69C"
"AC022210.1",1,"Other","A9EBA9"
"AC023906.1",1,"Other","A9EBA9"
"AC025040.1",1,"Other","A9EBA9"
"AC025181.1",0,"TF","F0C69C"
"AC025458.1",1,"Other","A9EBA9"
"AC026310.2",1,"Other","A9EBA9"
"AC026403.1",1,"Other","A9EBA9"
"AC027309.2",0,"TF","F0C69C"
"AC068631.4",1,"Other","A9EBA9"
"AC073548.1",1,"Other","A9EBA9"
"AC073861.1",1,"Other","A9EBA9"
"AC079250.1",0,"TF","F0C69C"
"AC090498.1",1,"Other","A9EBA9"
"AC090559.1",1,"Other","A9EBA9"
"AC092428.1",1,"Other","A9EBA9"
"AC097658.2",0,"TF","F0C69C"
"AC099560.2",1,"Other","A9EBA9"
"AC107075.1",1,"Other","A9EBA9"
"AC107983.1",0,"TF","F0C69C"
"AC122688.4",1,"Other","A9EBA9"
"AC131235.2",1,"Other","A9EBA9"
"AC135983.3",1,"Other","A9EBA9"
"ACAA1",1,"Other","A9EBA9"
"ACP3",1,"Other","A9EBA9"
"ACTBP2",1,"Other","A9EBA9"
"AGPAT3",1,"Other","A9EBA9"
"AGTRAP",1,"Other","A9EBA9"
"AIP",1,"Other","A9EBA9"
"AKR1B1",1,"Other","A9EBA9"
"AL009174.1",1,"Other","A9EBA9"
"AL021368.2",1,"Other","A9EBA9"
"AL031714.1",1,"Other","A9EBA9"
"AL031727.1",0,"TF","F0C69C"
"AL031729.1",1,"Other","A9EBA9"
"AL121601.1",1,"Other","A9EBA9"
"AL138785.2",0,"TF","F0C69C"
"AL139100.2",1,"Other","A9EBA9"
"AL139353.3",1,"Other","A9EBA9"
"AL157871.3",1,"Other","A9EBA9"
"AL157895.2",1,"Other","A9EBA9"
"AL161787.1",0,"TF","F0C69C"
"AL162151.2",1,"Other","A9EBA9"
"AL355472.1",1,"Other","A9EBA9"
"AL355922.1",1,"Other","A9EBA9"
"AL356000.1",1,"Other","A9EBA9"
"AL356653.1",1,"Other","A9EBA9"
"AL358472.1",1,"Other","A9EBA9"
"AL445189.2",0,"TF","F0C69C"
"AL450405.1",0,"TF","F0C69C"
"AL450998.1",1,"Other","A9EBA9"
"AL589863.1",1,"Other","A9EBA9"
"AL590556.1",0,"TF","F0C69C"
"AL590867.2",0,"TF","F0C69C"
"AL592295.1",1,"Other","A9EBA9"
"AL603825.1",1,"Other","A9EBA9"
"AL731557.1",1,"Other","A9EBA9"
"ALCAM",1,"Other","A9EBA9"
"ALDH1A1",1,"Other","A9EBA9"
"ANAPC11",1,"Other","A9EBA9"
"ANAPC15",1,"Other","A9EBA9"
"ANK1",1,"Other","A9EBA9"
"ANKRD18A",1,"Other","A9EBA9"
"ANOS2P",1,"Other","A9EBA9"
"ANTKMT",1,"Other","A9EBA9"
"ANXA2P3",1,"Other","A9EBA9"
"AP002761.4",1,"Other","A9EBA9"
"AP1B1",1,"Other","A9EBA9"
"AP2B1",1,"Other","A9EBA9"
"APOBEC3B",1,"Other","A9EBA9"
"APOBEC3C",1,"Other","A9EBA9"
"APOL6",1,"Other","A9EBA9"
"ARHGEF12",1,"Other","A9EBA9"
"ARL11",1,"Other","A9EBA9"
"ARL4C",1,"Other","A9EBA9"
"ASIC4",1,"Other","A9EBA9"
"ATG3",1,"Other","A9EBA9"
"ATOX1",1,"Other","A9EBA9"
"ATP2B1",1,"Other","A9EBA9"
"ATP5F1C",1,"Other","A9EBA9"
"ATP5F1D",1,"Other","A9EBA9"
"ATP5F1E",1,"Other","A9EBA9"
"ATP5IF1",1,"Other","A9EBA9"
"ATP5MC1",1,"Other","A9EBA9"
"ATP5MD",1,"Other","A9EBA9"
"ATP5ME",1,"Other","A9EBA9"
"ATP5MPL",1,"Other","A9EBA9"
"ATP5PF",1,"Other","A9EBA9"
"ATP6V0A1",1,"Other","A9EBA9"
"ATP8B4",1,"Other","A9EBA9"
"AURKAIP1",1,"Other","A9EBA9"
"AVPR1B",1,"Other","A9EBA9"
"AZU1",1,"Other","A9EBA9"
"B2M",1,"Other","A9EBA9"
"B9D1",1,"Other","A9EBA9"
"BAALC",1,"Other","A9EBA9"
"BAHCC1",1,"Other","A9EBA9"
"BBX",1,"Other","A9EBA9"
"BCAT2",1,"Other","A9EBA9"
"BCL2L1",1,"Other","A9EBA9"
"BCLAF1",1,"Other","A9EBA9"
"BLVRB",1,"Other","A9EBA9"
"BOD1L1",0,"TF","F0C69C"
"BPTF",1,"Other","A9EBA9"
"BST2",1,"Other","A9EBA9"
"BX842570.1",1,"Other","A9EBA9"
"C19orf53",1,"Other","A9EBA9"
"C1orf162",1,"Other","A9EBA9"
"C1QBP",1,"Other","A9EBA9"
"C1QTNF4",0,"TF","F0C69C"
"CARD11",1,"Other","A9EBA9"
"CASP1",1,"Other","A9EBA9"
"CASP3",1,"Other","A9EBA9"
"CAVIN1",1,"Other","A9EBA9"
"CAVIN2",0,"TF","F0C69C"
"CCDC28B",0,"TF","F0C69C"
"CCND2",1,"Other","A9EBA9"
"CCT3",1,"Other","A9EBA9"
"CCT4",1,"Other","A9EBA9"
"CCT5",1,"Other","A9EBA9"
"CCT7",1,"Other","A9EBA9"
"CCT8",1,"Other","A9EBA9"
"CD48",1,"Other","A9EBA9"
"CD81",1,"Other","A9EBA9"
"CD82",1,"Other","A9EBA9"
"CD84",1,"Other","A9EBA9"
"CD93",1,"Other","A9EBA9"
"CD96",1,"Other","A9EBA9"
"CDC26",1,"Other","A9EBA9"
"CEACAM4",1,"Other","A9EBA9"
"CEBPD",0,"TF","F0C69C"
"CENPX",1,"Other","A9EBA9"
"CHCHD1",1,"Other","A9EBA9"
"CHCHD2",1,"Other","A9EBA9"
"CHCHD7",1,"Other","A9EBA9"
"CIAO2B",1,"Other","A9EBA9"
"CILP2",1,"Other","A9EBA9"
"CITED2",1,"Other","A9EBA9"
"CITED4",1,"Other","A9EBA9"
"CKB",1,"Other","A9EBA9"
"CKS2",1,"Other","A9EBA9"
"CLCN4",1,"Other","A9EBA9"
"CLPP",1,"Other","A9EBA9"
"CLU",0,"TF","F0C69C"
"CMC1",1,"Other","A9EBA9"
"CMPK2",1,"Other","A9EBA9"
"CNBP",1,"Other","A9EBA9"
"CNRIP1",0,"TF","F0C69C"
"COPS9",1,"Other","A9EBA9"
"COX14",1,"Other","A9EBA9"
"COX17",1,"Other","A9EBA9"
"COX5A",1,"Other","A9EBA9"
"COX5B",1,"Other","A9EBA9"
"COX6A1",1,"Other","A9EBA9"
"COX6B1",1,"Other","A9EBA9"
"COX6C",1,"Other","A9EBA9"
"COX7A2",1,"Other","A9EBA9"
"COX7B",1,"Other","A9EBA9"
"COX7C",1,"Other","A9EBA9"
"COX7CP1",1,"Other","A9EBA9"
"COX8A",1,"Other","A9EBA9"
"CPA3",1,"Other","A9EBA9"
"CPD",1,"Other","A9EBA9"
"CPOX",1,"Other","A9EBA9"
"CPPED1",1,"Other","A9EBA9"
"CRLF3",1,"Other","A9EBA9"
"CRYBG1",0,"TF","F0C69C"
"CSF2RB",0,"TF","F0C69C"
"CSF3R",0,"TF","F0C69C"
"CSKMT",1,"Other","A9EBA9"
"CST7",1,"Other","A9EBA9"
"CSTA",1,"Other","A9EBA9"
"CTNNBL1",1,"Other","A9EBA9"
"CTSG",0,"TF","F0C69C"
"CTTNBP2",0,"TF","F0C69C"
"CTU1",1,"Other","A9EBA9"
"CYBA",1,"Other","A9EBA9"
"CYC1",1,"Other","A9EBA9"
"DAD1",1,"Other","A9EBA9"
"DAG1",1,"Other","A9EBA9"
"DDX3Y",0,"TF","F0C69C"
"DENND3",1,"Other","A9EBA9"
"DLK1",1,"Other","A9EBA9"
"DMTN",1,"Other","A9EBA9"
"DNAJC19",1,"Other","A9EBA9"
"DNAJC21",1,"Other","A9EBA9"
"DNAJC6",0,"TF","F0C69C"
"DOCK8",1,"Other","A9EBA9"
"DPM3",1,"Other","A9EBA9"
"DRG1",1,"Other","A9EBA9"
"DST",1,"Other","A9EBA9"
"DSTN",1,"Other","A9EBA9"
"DUSP3",1,"Other","A9EBA9"
"DYSF",1,"Other","A9EBA9"
"EEF1B2",1,"Other","A9EBA9"
"EEF1B2P6",1,"Other","A9EBA9"
"EEF1D",1,"Other","A9EBA9"
"EEF1DP1",1,"Other","A9EBA9"
"EEF1GP5",1,"Other","A9EBA9"
"EIF1AY",0,"TF","F0C69C"
"EIF3G",1,"Other","A9EBA9"
"EIF3K",1,"Other","A9EBA9"
"EIF4A1P4",1,"Other","A9EBA9"
"EIF4EBP1",1,"Other","A9EBA9"
"EIF4H",1,"Other","A9EBA9"
"ELANE",0,"TF","F0C69C"
"ELOB",1,"Other","A9EBA9"
"ELOC",1,"Other","A9EBA9"
"EMB",1,"Other","A9EBA9"
"EMC4",1,"Other","A9EBA9"
"EMC6",1,"Other","A9EBA9"
"EMILIN2",1,"Other","A9EBA9"
"EMP1",1,"Other","A9EBA9"
"EMP3",0,"TF","F0C69C"
"ENDOG",1,"Other","A9EBA9"
"EPB41L3",1,"Other","A9EBA9"
"EPOR",1,"Other","A9EBA9"
"ERH",1,"Other","A9EBA9"
"ERO1A",1,"Other","A9EBA9"
"ESAM",0,"TF","F0C69C"
"EZR",1,"Other","A9EBA9"
"F2RL3",1,"Other","A9EBA9"
"FAM107B",0,"TF","F0C69C"
"FAM160B1",1,"Other","A9EBA9"
"FAM171A1",1,"Other","A9EBA9"
"FAM83F",1,"Other","A9EBA9"
"FBLN2",0,"TF","F0C69C"
"FBN2",0,"TF","F0C69C"
"FCER1A",0,"TF","F0C69C"
"FGFR1",1,"Other","A9EBA9"
"FHL2",1,"Other","A9EBA9"
"FHOD1",1,"Other","A9EBA9"
"FNDC3B",1,"Other","A9EBA9"
"FP671120.7",1,"Other","A9EBA9"
"FP671120.8",1,"Other","A9EBA9"
"FPR2",1,"Other","A9EBA9"
"FREM1",0,"TF","F0C69C"
"FRG1EP",1,"Other","A9EBA9"
"FTH1",0,"TF","F0C69C"
"FTH1P1",1,"Other","A9EBA9"
"FTH1P2",1,"Other","A9EBA9"
"FTL",1,"Other","A9EBA9"
"FUT4",1,"Other","A9EBA9"
"GADD45GIP1",1,"Other","A9EBA9"
"GALNT10",1,"Other","A9EBA9"
"GAPDH",1,"Other","A9EBA9"
"GAPDHP40",1,"Other","A9EBA9"
"GAPDHP64",1,"Other","A9EBA9"
"GAPDHP72",0,"TF","F0C69C"
"GAR1",1,"Other","A9EBA9"
"GART",1,"Other","A9EBA9"
"GAS5",0,"TF","F0C69C"
"GAS7",1,"Other","A9EBA9"
"GATA1",0,"TF","F0C69C"
"GATA2",0,"TF","F0C69C"
"GBP2",1,"Other","A9EBA9"
"GCSAML",1,"Other","A9EBA9"
"GET3",1,"Other","A9EBA9"
"GFI1",0,"TF","F0C69C"
"GFI1B",0,"TF","F0C69C"
"GLIPR1",0,"TF","F0C69C"
"GLOD5",1,"Other","A9EBA9"
"GMPR",1,"Other","A9EBA9"
"GNG5",1,"Other","A9EBA9"
"GNL3",1,"Other","A9EBA9"
"GOLGA4",1,"Other","A9EBA9"
"GOLGB1",1,"Other","A9EBA9"
"GPR160",1,"Other","A9EBA9"
"GPR85",1,"Other","A9EBA9"
"GPX1P1",1,"Other","A9EBA9"
"GPX4",1,"Other","A9EBA9"
"GRAMD1B",1,"Other","A9EBA9"
"GRAP2",0,"TF","F0C69C"
"GRWD1",1,"Other","A9EBA9"
"GSN",1,"Other","A9EBA9"
"GTF2H2",1,"Other","A9EBA9"
"GTF3C2",1,"Other","A9EBA9"
"GTF3C6",1,"Other","A9EBA9"
"GTSF1",1,"Other","A9EBA9"
"GUCD1",1,"Other","A9EBA9"
"GUK1",1,"Other","A9EBA9"
"HACD1",1,"Other","A9EBA9"
"HAL",1,"Other","A9EBA9"
"HBB",1,"Other","A9EBA9"
"HBD",0,"TF","F0C69C"
"HBQ1",1,"Other","A9EBA9"
"HCST",1,"Other","A9EBA9"
"HDC",1,"Other","A9EBA9"
"HEMGN",1,"Other","A9EBA9"
"HGF",1,"Other","A9EBA9"
"HIP1",1,"Other","A9EBA9"
"HLA-C",0,"TF","F0C69C"
"HLA-DQA2",1,"Other","A9EBA9"
"HLA-DQB1",0,"TF","F0C69C"
"HLA-DRB6",1,"Other","A9EBA9"
"HLX",1,"Other","A9EBA9"
"HMGB3P6",1,"Other","A9EBA9"
"HMGN2",1,"Other","A9EBA9"
"HNRNPM",1,"Other","A9EBA9"
"HOPX",1,"Other","A9EBA9"
"HPGDS",0,"TF","F0C69C"
"HSBP1",1,"Other","A9EBA9"
"HSP90AA1",1,"Other","A9EBA9"
"HSP90AB1",1,"Other","A9EBA9"
"HSP90B1",1,"Other","A9EBA9"
"HSPB1P1",1,"Other","A9EBA9"
"HYAL3",1,"Other","A9EBA9"
"ICAM2",1,"Other","A9EBA9"
"ICAM5",1,"Other","A9EBA9"
"IDH3G",1,"Other","A9EBA9"
"IFITM2",0,"TF","F0C69C"
"IFITM3P1",0,"TF","F0C69C"
"IGF2BP1",1,"Other","A9EBA9"
"IGFBP2",1,"Other","A9EBA9"
"IGFBP4",0,"TF","F0C69C"
"IGHM",1,"Other","A9EBA9"
"IGLL1",1,"Other","A9EBA9"
"IL17RA",1,"Other","A9EBA9"
"IL1RL1",1,"Other","A9EBA9"
"IL6R",0,"TF","F0C69C"
"INKA1",1,"Other","A9EBA9"
"IRAK3",1,"Other","A9EBA9"
"IRF8",0,"TF","F0C69C"
"ISOC2",1,"Other","A9EBA9"
"ITGA2B",0,"TF","F0C69C"
"ITGAE",1,"Other","A9EBA9"
"ITM2A",0,"TF","F0C69C"
"JAKMIP2",1,"Other","A9EBA9"
"JAML",1,"Other","A9EBA9"
"KCNE3",1,"Other","A9EBA9"
"KCNH2",0,"TF","F0C69C"
"KCNK6",1,"Other","A9EBA9"
"KDM5D",0,"TF","F0C69C"
"KEL",0,"TF","F0C69C"
"KIAA0319L",1,"Other","A9EBA9"
"KIAA0930",1,"Other","A9EBA9"
"KLF1",0,"TF","F0C69C"
"KLHDC8B",1,"Other","A9EBA9"
"KRTCAP2",1,"Other","A9EBA9"
"KTN1",1,"Other","A9EBA9"
"KXD1",1,"Other","A9EBA9"
"LAGE3",1,"Other","A9EBA9"
"LAMTOR2",1,"Other","A9EBA9"
"LAMTOR4",1,"Other","A9EBA9"
"LAMTOR5P1",1,"Other","A9EBA9"
"LAT2",1,"Other","A9EBA9"
"LDB1",1,"Other","A9EBA9"
"LEF1",1,"Other","A9EBA9"
"LEF1-AS1",1,"Other","A9EBA9"
"LINC00884",1,"Other","A9EBA9"
"LINC00926",0,"TF","F0C69C"
"LINC01515",1,"Other","A9EBA9"
"LINC02242",1,"Other","A9EBA9"
"LIPE",1,"Other","A9EBA9"
"LITAF",1,"Other","A9EBA9"
"LMNA",1,"Other","A9EBA9"
"LMO4",1,"Other","A9EBA9"
"LPAR5",0,"TF","F0C69C"
"LPO",1,"Other","A9EBA9"
"LSM10",1,"Other","A9EBA9"
"LSM4",1,"Other","A9EBA9"
"LSM5",1,"Other","A9EBA9"
